2026-07-21 20:06:18  INFO     === reconstruct_walls started ===
2026-07-21 20:06:18  INFO     input:  data\parsed.json
2026-07-21 20:06:18  INFO     output: data\output.json
2026-07-21 20:06:18  INFO     tolerance: 10.00 mm
2026-07-21 20:06:18  INFO     Loaded 759 walls, 16 doors, 0 windows
2026-07-21 20:06:18  INFO     --- Step 1: snap_endpoints (tolerance=10.00 mm) ---
2026-07-21 20:06:50  DEBUG      snap wall 1A1 endpoint (46419.555,-256630.693) -> (46419.564,-256673.193)  dist=42.500 mm
2026-07-21 20:06:50  DEBUG      snap wall 1A2 endpoint (46419.555,-256630.693) -> (46419.564,-256673.193)  dist=42.500 mm
2026-07-21 20:06:50  DEBUG      snap wall 1A5 endpoint (46419.258,-255330.693) -> (46419.248,-255288.193)  dist=42.500 mm
2026-07-21 20:06:50  DEBUG      snap wall 1A8 endpoint (46419.258,-255330.693) -> (46419.248,-255288.193)  dist=42.500 mm
2026-07-21 20:06:50  DEBUG      snap wall 216 endpoint (47817.338,-246930.374) -> (47817.338,-246929.732)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 217 endpoint (47817.338,-246930.374) -> (47817.338,-246929.732)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 217 endpoint (47817.270,-246630.374) -> (47817.305,-246658.781)  dist=28.407 mm
2026-07-21 20:06:50  DEBUG      snap wall 218 endpoint (47817.270,-246630.374) -> (47817.305,-246658.781)  dist=28.407 mm
2026-07-21 20:06:50  DEBUG      snap wall 219 endpoint (50617.338,-246929.734) -> (50617.338,-246929.092)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 21A endpoint (50617.338,-246929.734) -> (50617.338,-246929.092)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 21A endpoint (50617.270,-246629.734) -> (50617.305,-246658.135)  dist=28.402 mm
2026-07-21 20:06:50  DEBUG      snap wall 21B endpoint (50617.270,-246629.734) -> (50617.305,-246658.135)  dist=28.402 mm
2026-07-21 20:06:50  DEBUG      snap wall 21D endpoint (53417.338,-246929.094) -> (53417.338,-246928.452)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 21E endpoint (53417.338,-246929.094) -> (53417.338,-246928.452)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 21E endpoint (53417.270,-246629.094) -> (53417.305,-246657.499)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 21F endpoint (53417.270,-246629.094) -> (53417.305,-246657.499)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 221 endpoint (56217.338,-246928.454) -> (56217.338,-246927.813)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 222 endpoint (56217.338,-246928.454) -> (56217.338,-246927.813)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 222 endpoint (56217.270,-246628.454) -> (56217.305,-246656.859)  dist=28.405 mm
